consideration_offered,shares_acquired,shares_at_announcement,acquiror_code,target_code,target_status,acquisition_count,bidder_count,month,cross_border,relatedness,economic_sector_ac,business_sector_ac,economic_sector_target,business_sector_target,car_1,car_3,car_5,car_10
Other,full,no,55101010,55301010,others,5,1,1,cross_border,economic_sector,Financials,Banking & Investment Services,Financials,Insurance,-0.0029471379202218,-0.0005991292017876,-0.0196385099743106,-0.0076402516650999
Other,full,no,55101010,55301010,others,6,1,1,cross_border,economic_sector,Financials,Banking & Investment Services,Financials,Insurance,-0.0029471379202218,-0.0005991292017876,-0.0196385099743106,-0.0076402516650999
Other,full,no,52102050,53205020,others,22,1,1,cross_border,not_related,Industrials,Industrial Goods,Consumer Cyclicals,Cyclical Consumer Products,0.0061690101296888,0.0001230597082053,-0.0205993296211015,-0.0011499808834344
Other,full,no,54201010,56201040,others,34,1,1,cross_border,not_related,Consumer Non-Cyclicals,Personal & Household Products & Services,Healthcare,Pharmaceuticals & Medical Research,0.007969090329444,0.0292872123415577,0.0098959002103261,0.0281756410806232
Other,full,no,52102050,53205020,others,23,1,1,cross_border,not_related,Industrials,Industrial Goods,Consumer Cyclicals,Cyclical Consumer Products,0.0061690101296888,0.0001230597082053,-0.0205993296211015,-0.0011499808834344
Cash,full,no,54301020,52405030,public,23,1,1,cross_border,not_related,Consumer Non-Cyclicals,Food & Drug Retailing,Industrials,Transportation,-0.0093619289839946,0.0013080420118526,0.0180408936558373,0.0564284266231462
Cash,full,no,52102010,53203020,others,5,1,1,cross_border,not_related,Industrials,Industrial Goods,Consumer Cyclicals,Cyclical Consumer Products,0.010072532101782,0.0220799777553249,0.0031469291908297,-0.0314758612817607
Cash,full,no,54401010,51101030,others,58,1,1,cross_border,not_related,Consumer Non-Cyclicals,Consumer Goods Conglomerates,Basic Materials,Chemicals,0.0021237788545999,-0.0129590982805326,-0.0256201256300947,-0.015733059911697
Other,full,no,55301010,55301030,others,78,1,1,cross_border,industry_group,Financials,Insurance,Financials,Insurance,-0.004892338767382,-0.0069256487759956,-0.0324035663324504,-0.0402810214443025
Cash,full,no,52203070,52203040,others,5,1,1,cross_border,industry_group,Industrials,Industrial & Commercial Services,Industrials,Industrial & Commercial Services,-0.0211416397097679,-0.0089988289381305,-0.0159438503970705,-0.0577590540059195
Other,full,no,60102020,60101010,others,16,1,1,cross_border,business_sector,Real Estate,Real Estate,Real Estate,Real Estate,0.0088937595150857,0.0046020428167034,0.0048297635969639,0.0021175028079475
Other,full,no,57201020,57201020,others,4,1,1,cross_border,industry,Technology,Software & IT Services,Technology,Software & IT Services,0.1185314282143515,0.1460696818781883,0.0570658913761311,0.0014314607177114
Other,full,no,53203010,53203010,others,2,1,1,cross_border,industry,Consumer Cyclicals,Cyclical Consumer Products,Consumer Cyclicals,Cyclical Consumer Products,-0.025119023670821,-0.0077721253492183,-0.0205414125262328,0.0004731512964377
Other,full,no,56101020,56201040,others,9,1,1,cross_border,economic_sector,Healthcare,Healthcare Services & Equipment,Healthcare,Pharmaceuticals & Medical Research,0.0097988241180352,-0.0047977461232535,0.0028400051953451,0.03172177091145
Other,full,no,57201010,52203040,others,28,1,1,cross_border,not_related,Technology,Software & IT Services,Industrials,Industrial & Commercial Services,0.0070842659455421,0.0122454909132589,-0.0050920223005512,0.014465168500904
Cash,full,no,52102010,56101020,others,6,1,1,cross_border,not_related,Industrials,Industrial Goods,Healthcare,Healthcare Services & Equipment,0.0158548848136379,0.0369713132589279,0.0535261304639532,0.0457341080320963
Other,full,no,54401010,51101030,others,59,1,1,cross_border,not_related,Consumer Non-Cyclicals,Consumer Goods Conglomerates,Basic Materials,Chemicals,0.0029887562664808,0.0007909807717625,-0.0100419772589747,-0.0333047282676104
Cash,full,no,54201010,56201040,others,49,1,1,cross_border,not_related,Consumer Non-Cyclicals,Personal & Household Products & Services,Healthcare,Pharmaceuticals & Medical Research,0.0011312686241372,-0.0109274862026237,0.0063657917821596,0.0231129819990804
Other,full,no,55101010,55101010,public,18,1,1,cross_border,industry,Financials,Banking & Investment Services,Financials,Banking & Investment Services,-0.0112488669618986,0.0044535109881448,0.0126964279022807,0.0448068359820681
Other,full,no,57102010,57401020,others,120,1,1,cross_border,economic_sector,Technology,Technology Equipment,Technology,Telecommunications Services,0.0013195402153675,0.0019660816333689,0.0083404820791849,0.0194335349153336
